record_date,farm_id,animal_id,breed,age_years,lactation_number,days_in_milk,previous_mastitis_history,vaccinated,chronic_disease_flag,latitude,longitude,environment_area,ambient_temperature_c,relative_humidity_pct,temperature_humidity_index,surface_moisture_pct,hygiene_score_0_100,ventilation_score_0_100,manure_contamination_score_0_100,teat_cleanliness_score_0_100,milking_hygiene_score_0_100,post_milking_teat_dip,milking_interval_h,feed_intake_kg_day,water_intake_l_day,environment_total_mastitis_pathogen_load_log10,S_aureus_load_log10_cfu_equiv,S_uberis_load_log10_cfu_equiv,E_coli_load_log10_cfu_equiv,K_pneumoniae_load_log10_cfu_equiv,S_agalactiae_load_log10_cfu_equiv,dominant_environment_pathogen,dominant_pathogen_relative_abundance_pct,milk_yield_kg_day,milk_scc_cells_per_ml,milk_conductivity_mS_cm,milk_pH,milk_temperature_c,milk_fat_pct,milk_protein_pct,milk_lactose_pct,cmt_score_0_3,body_temperature_c,udder_surface_temperature_c,activity_score,rumination_min_day,blood_wbc_10e9_per_l,clinical_mastitis_now,synthetic_risk_score_pct,mastitis_risk_category,mastitis_in_next_7d,mastitis_in_next_14d,days_to_synthetic_event
2026-01-21,F22,1,Jersey_cross,3.5,5,40,0,1,0,12.43545,76.41304,bedding,30.14,84.63,83.84,36.35,57.7,73.56,37.61,86.7,78.29,1,7.64,4.68,46.09,5.984,4.203,5.363,5.195,5.738,4.079,K_pneumoniae,56.84,13.55,164448,4.023,6.546,36.9,3.8,3.21,4.63,0,38.64,34.35,98.5,532.2,7.21,0,39.05,Low,0,0,15.0
2026-01-22,F22,1,Jersey_cross,3.5,5,41,0,1,0,12.43545,76.41304,pasture,29.75,64.74,80.14,24.47,87.69,86.43,12.31,92.9,94.7,1,7.31,8.47,36.3,5.185,3.749,5.048,4.325,4.103,3.31,S_uberis,72.93,14.19,175889,4.042,6.675,36.97,3.86,3.46,4.71,0,38.38,34.77,96.8,446.2,9.01,0,7.4,No_Risk,0,1,14.0
2026-01-23,F22,1,Jersey_cross,3.5,5,42,0,1,0,12.43545,76.41304,manure_area,30.73,83.73,84.66,33.86,15.76,63.93,93.05,13.2,57.21,1,9.29,8.18,63.85,6.153,4.444,4.743,5.751,5.877,4.324,K_pneumoniae,53.0,13.12,287859,4.202,6.671,36.97,3.44,3.02,4.79,0,38.57,34.03,97.1,397.4,6.64,0,75.08,High,0,1,13.0
2026-01-24,F22,1,Jersey_cross,3.5,5,43,0,1,0,12.43545,76.41304,traffic_lane,31.56,63.7,82.58,12.61,48.67,78.08,28.84,40.52,75.59,0,7.06,7.09,42.44,5.049,4.465,4.446,4.364,4.441,3.608,S_aureus,26.09,12.46,161390,4.133,6.635,36.96,3.61,3.3,4.65,0,38.4,34.79,96.8,472.9,7.09,0,19.15,No_Risk,0,1,12.0
2026-01-25,F22,1,Jersey_cross,3.5,5,44,0,1,0,12.43545,76.41304,pasture,30.09,72.38,81.83,16.8,71.02,71.87,16.96,72.4,88.86,1,9.54,6.18,57.98,5.024,4.186,4.697,4.067,4.366,3.752,S_uberis,47.1,12.8,129335,4.307,6.67,37.2,3.84,3.05,4.62,1,38.44,33.99,105.5,481.9,8.78,0,13.51,No_Risk,0,1,11.0
2026-01-26,F22,1,Jersey_cross,3.5,5,45,0,1,0,12.43545,76.41304,soil,27.9,74.75,78.81,24.54,50.96,71.3,48.17,47.86,81.64,0,8.23,6.79,43.05,5.261,4.337,4.869,4.419,4.708,3.98,S_uberis,40.49,12.36,118738,4.252,6.72,37.06,3.77,3.27,4.7,1,38.75,34.16,90.7,499.1,8.37,0,22.12,Low,0,1,10.0
2026-01-27,F22,1,Jersey_cross,3.5,5,46,0,1,0,12.43545,76.41304,soil,22.46,68.68,69.9,24.1,70.67,57.62,19.0,72.17,71.7,0,7.84,6.22,46.82,5.272,4.982,4.71,4.144,4.315,3.728,S_aureus,51.25,12.0,174270,4.171,6.669,37.15,3.57,3.33,4.75,0,38.59,34.13,92.0,372.9,9.11,0,16.55,No_Risk,0,1,9.0
2026-01-28,F22,1,Jersey_cross,3.5,5,47,0,1,0,12.43545,76.41304,bedding,27.98,84.26,80.23,37.36,48.75,71.6,43.38,33.96,77.14,1,7.21,7.33,52.73,6.045,4.469,5.171,5.399,5.828,3.898,K_pneumoniae,60.68,11.89,217171,4.167,6.692,37.32,3.89,3.22,4.68,2,38.7,34.78,99.5,452.0,8.07,0,61.36,Moderate,0,1,8.0
2026-01-29,F22,1,Jersey_cross,3.5,5,48,0,1,0,12.43545,76.41304,manure_area,31.17,82.23,85.12,37.86,33.24,65.21,69.87,34.68,72.25,1,8.36,9.3,54.01,6.375,4.376,4.951,5.621,6.254,4.662,K_pneumoniae,75.67,11.5,310085,4.421,6.725,37.32,3.52,3.34,4.69,2,38.81,34.28,89.3,435.6,10.0,0,70.09,High,1,1,7.0
2026-01-30,F22,1,Jersey_cross,3.5,5,49,0,1,0,12.43545,76.41304,bedding,29.0,82.89,81.69,34.02,54.5,62.48,40.93,59.32,77.61,1,7.98,6.69,48.65,5.968,4.056,5.129,5.586,5.587,4.069,K_pneumoniae,41.56,11.5,245087,4.173,6.631,37.06,3.94,3.33,4.62,1,38.88,34.74,90.7,465.3,9.47,0,48.96,Moderate,1,1,6.0
2026-01-31,F22,1,Jersey_cross,3.5,5,50,0,1,0,12.43545,76.41304,milking_parlor,23.96,84.01,73.6,19.37,81.09,59.96,8.69,78.32,84.43,0,9.15,9.04,46.03,5.214,4.749,4.385,4.034,4.513,4.603,S_aureus,34.23,11.07,399875,4.59,6.676,37.4,3.94,3.25,4.62,3,38.67,34.18,88.8,448.8,8.62,0,15.78,No_Risk,1,1,5.0
2026-02-01,F22,1,Jersey_cross,3.5,5,51,0,1,0,12.43545,76.41304,pasture,33.02,71.88,86.2,48.12,77.17,65.91,20.31,74.53,78.69,1,9.14,7.82,60.21,5.516,4.893,4.965,4.722,4.927,4.316,S_uberis,28.12,11.9,352738,4.711,6.78,37.13,3.42,3.32,4.46,2,38.62,35.5,81.9,411.1,7.85,0,30.63,Low,1,1,4.0
2026-02-02,F22,1,Jersey_cross,3.5,5,52,0,1,0,12.43545,76.41304,feed_area,31.57,69.18,83.53,19.69,68.78,86.47,20.06,80.42,84.93,1,8.64,6.86,59.03,4.915,4.054,4.405,4.229,4.28,3.981,S_uberis,30.88,11.91,422935,4.882,6.699,37.3,3.64,3.2,4.5,2,39.0,34.88,92.2,378.8,9.85,0,13.45,No_Risk,1,1,3.0
2026-02-03,F22,1,Jersey_cross,3.5,5,53,0,1,0,12.43545,76.41304,bedding,25.69,79.26,75.89,36.78,51.78,56.3,47.04,56.76,64.96,0,9.09,6.34,44.74,6.207,4.871,5.375,5.248,6.044,4.161,K_pneumoniae,68.77,10.39,569966,5.026,6.779,36.99,3.53,3.4,4.72,1,38.85,34.56,80.4,412.3,8.61,0,74.56,High,1,1,2.0
2026-02-04,F22,1,Jersey_cross,3.5,5,54,0,1,0,12.43545,76.41304,water_trough,22.93,81.69,71.72,58.27,32.37,60.17,83.58,30.86,61.89,1,7.21,7.35,39.2,6.362,4.279,5.131,5.696,6.214,4.134,K_pneumoniae,71.12,10.13,809776,5.009,6.782,37.28,3.51,3.25,4.46,3,38.72,34.84,78.2,404.2,8.73,0,83.25,High,1,1,1.0
2026-02-05,F22,1,Jersey_cross,3.5,5,55,0,1,0,12.43545,76.41304,water_trough,24.7,90.67,75.49,50.62,63.37,58.9,44.15,44.73,77.1,0,8.83,7.05,42.95,6.378,5.04,4.652,5.509,6.276,4.341,K_pneumoniae,79.07,10.94,582581,4.869,6.741,37.42,3.42,3.57,4.49,2,38.63,35.35,78.2,388.5,7.92,1,75.82,High,0,0,0.0
2026-02-06,F22,1,Jersey_cross,3.5,5,56,0,1,0,12.43545,76.41304,bedding,28.45,67.0,78.57,46.55,35.54,72.12,66.78,34.98,52.31,1,8.83,7.63,47.58,6.507,4.471,5.591,5.786,6.33,4.655,K_pneumoniae,66.53,11.0,792401,5.049,6.708,37.33,3.69,3.5,4.61,3,38.72,35.18,75.5,356.9,10.33,1,89.18,High,0,0,-1.0
2026-02-07,F22,1,Jersey_cross,3.5,5,57,0,1,0,12.43545,76.41304,manure_area,28.13,82.98,80.3,53.28,32.86,62.17,87.91,36.56,58.48,1,6.93,7.18,50.27,6.485,4.839,5.277,6.073,6.204,4.208,K_pneumoniae,52.32,9.33,1406107,5.608,6.782,37.36,3.57,3.29,4.52,3,38.99,35.35,73.3,418.5,10.24,1,91.14,High,0,0,-2.0
2026-02-08,F22,1,Jersey_cross,3.5,5,58,0,1,0,12.43545,76.41304,feed_area,26.15,73.08,75.91,21.82,66.19,72.74,19.23,72.41,84.67,1,6.04,6.13,53.88,4.881,3.97,4.198,4.536,4.018,3.792,E_coli,45.15,9.86,671308,5.151,6.764,37.45,3.29,3.34,4.55,3,38.87,35.73,80.7,340.9,11.03,1,16.62,No_Risk,0,0,-3.0
2026-02-09,F22,1,Jersey_cross,3.5,5,59,0,1,0,12.43545,76.41304,bedding,25.86,77.04,75.92,31.63,25.08,80.5,80.29,23.56,64.31,1,8.7,7.05,52.5,5.818,4.138,5.139,5.164,5.544,4.035,K_pneumoniae,53.17,9.12,1558570,5.563,6.764,37.38,3.76,3.37,4.63,3,38.79,35.56,75.7,346.5,9.9,1,78.56,High,0,0,-4.0
2026-01-01,F23,2,HF_cross,4.0,3,20,0,0,0,11.80735,78.22701,external_road,28.67,72.58,79.7,14.9,62.79,73.87,18.48,53.18,90.14,1,6.27,6.81,52.37,4.898,3.834,4.577,4.163,4.006,3.988,S_uberis,47.76,16.48,104600,4.011,6.628,37.0,3.52,2.92,4.7,0,38.39,34.4,112.7,489.2,7.24,0,7.83,No_Risk,0,0,
2026-01-02,F23,2,HF_cross,4.0,3,21,0,0,0,11.80735,78.22701,feed_area,24.05,83.81,73.72,14.7,72.3,59.97,17.12,65.6,72.3,1,8.54,5.63,45.81,4.655,4.134,3.68,3.948,3.936,3.968,S_aureus,30.12,17.31,102185,4.06,6.636,37.11,3.96,3.29,4.83,0,38.58,33.6,98.1,460.1,10.24,0,6.17,No_Risk,0,0,
2026-01-03,F23,2,HF_cross,4.0,3,22,0,0,0,11.80735,78.22701,feed_area,27.7,76.18,78.69,17.61,75.81,58.08,7.8,99.35,89.44,1,8.3,8.09,47.86,4.764,3.562,4.367,4.129,3.96,3.932,S_uberis,40.1,16.06,77934,4.164,6.605,37.0,3.92,3.06,4.7,0,38.46,33.73,102.9,411.7,9.3,0,5.65,No_Risk,0,0,
2026-01-04,F23,2,HF_cross,4.0,3,23,0,0,0,11.80735,78.22701,bedding,28.71,87.19,81.84,32.87,61.99,55.03,35.96,58.32,65.1,0,7.37,7.13,44.87,5.96,4.676,5.115,5.664,5.377,4.55,E_coli,50.55,16.48,136990,3.924,6.646,36.87,4.07,3.38,4.81,1,38.58,33.63,90.1,490.6,8.65,0,47.14,Moderate,0,0,
2026-01-05,F23,2,HF_cross,4.0,3,24,0,0,0,11.80735,78.22701,bedding,25.09,88.39,75.93,27.52,56.59,50.43,54.29,52.07,83.0,1,9.58,6.16,58.94,5.677,4.266,4.628,5.186,5.382,4.311,K_pneumoniae,50.6,16.14,87974,3.867,6.674,37.09,3.75,3.23,4.82,0,38.59,34.25,100.8,486.0,8.1,0,36.86,Low,0,0,
2026-01-06,F23,2,HF_cross,4.0,3,25,0,0,0,11.80735,78.22701,soil,31.25,74.56,83.96,20.09,58.17,64.8,38.07,38.57,75.07,1,6.97,6.18,38.5,5.323,4.145,5.077,4.562,4.54,3.765,S_uberis,56.73,16.12,109639,4.019,6.618,36.86,3.92,3.39,4.68,0,38.41,34.18,106.9,453.7,8.11,0,14.88,No_Risk,0,0,
2026-01-07,F23,2,HF_cross,4.0,3,26,0,0,0,11.80735,78.22701,manure_area,34.82,76.07,89.79,49.98,42.73,80.18,66.86,42.99,73.18,1,8.6,9.45,60.93,6.084,4.377,4.882,5.45,5.913,4.086,K_pneumoniae,67.48,16.31,71726,4.023,6.638,36.97,3.69,3.26,4.77,0,38.45,33.57,105.5,512.9,9.05,0,47.72,Moderate,0,0,
2026-01-08,F23,2,HF_cross,4.0,3,27,0,0,0,11.80735,78.22701,soil,27.8,63.85,77.2,28.46,52.69,80.29,33.97,40.26,62.94,1,9.39,7.39,54.41,5.421,3.868,5.248,4.395,4.685,3.808,S_uberis,67.03,15.79,48896,3.989,6.684,37.1,3.81,3.37,4.82,0,38.45,33.55,103.7,448.5,8.26,0,25.48,Low,0,0,
2026-01-09,F23,2,HF_cross,4.0,3,28,0,0,0,11.80735,78.22701,water_trough,27.68,87.4,80.15,62.66,41.17,66.8,76.72,55.43,53.11,1,8.15,6.84,52.0,6.836,4.402,5.212,6.031,6.743,4.794,K_pneumoniae,80.68,16.14,170179,4.154,6.637,37.05,3.89,3.29,4.8,0,38.54,33.77,95.7,533.3,9.81,0,76.43,High,0,0,
2026-01-10,F23,2,HF_cross,4.0,3,29,0,0,0,11.80735,78.22701,traffic_lane,32.7,52.04,82.09,18.38,54.33,82.63,39.06,64.05,66.04,1,8.39,9.75,54.25,5.207,3.801,4.997,4.514,4.021,4.089,S_uberis,61.65,15.87,147305,4.189,6.628,36.98,3.73,3.28,4.78,0,38.52,33.79,99.3,473.5,8.51,0,14.8,No_Risk,0,0,
2026-01-11,F23,2,HF_cross,4.0,3,30,0,0,0,11.80735,78.22701,external_waste_area,29.45,73.67,81.05,46.66,31.77,66.53,75.51,25.4,55.77,1,5.87,6.28,53.69,6.198,4.482,5.345,5.477,6.003,4.238,K_pneumoniae,63.89,15.9,160061,3.862,6.626,36.94,3.79,3.4,4.89,0,38.58,33.83,95.5,445.8,7.04,0,72.15,High,0,0,
2026-01-12,F23,2,HF_cross,4.0,3,31,0,0,0,11.80735,78.22701,manure_area,34.16,86.51,90.81,46.27,16.06,68.1,85.27,19.72,64.9,1,11.1,6.01,60.63,6.199,4.677,5.206,5.929,5.678,4.686,E_coli,53.66,17.31,155791,3.807,6.693,37.13,3.68,3.34,4.75,0,38.5,34.11,96.9,473.0,8.96,0,70.13,High,0,0,
2026-01-13,F23,2,HF_cross,4.0,3,32,0,0,0,11.80735,78.22701,bedding,31.87,94.04,88.32,30.37,48.32,58.39,48.22,45.52,70.69,1,6.79,5.07,56.58,6.03,4.48,5.471,5.421,5.67,4.129,K_pneumoniae,43.68,16.73,155923,3.927,6.671,36.98,4.04,3.29,4.66,0,38.38,34.15,109.3,502.9,8.05,0,59.14,Moderate,0,0,
2026-01-14,F23,2,HF_cross,4.0,3,33,0,0,0,11.80735,78.22701,water_trough,28.26,90.73,81.58,62.76,37.28,46.34,69.54,48.29,62.75,0,7.45,7.37,40.49,6.447,4.911,5.437,6.054,6.111,4.302,K_pneumoniae,46.17,16.87,184790,4.197,6.636,37.0,3.5,3.22,4.73,0,38.6,33.93,100.5,460.7,9.36,0,74.58,High,0,0,
2026-01-15,F23,2,HF_cross,4.0,3,34,0,0,0,11.80735,78.22701,pasture,29.83,78.4,82.37,22.51,82.07,69.53,6.87,93.73,95.68,1,6.71,5.73,54.44,5.071,3.625,4.709,4.406,4.505,3.687,S_uberis,43.49,16.28,102095,3.959,6.635,37.09,3.94,3.25,4.67,0,38.62,33.8,99.8,452.5,7.73,0,8.18,No_Risk,0,0,
2026-01-16,F23,2,HF_cross,4.0,3,35,0,0,0,11.80735,78.22701,soil,29.79,73.43,81.53,30.13,63.63,69.38,46.9,48.09,79.76,0,9.28,9.29,51.46,5.341,4.745,4.933,4.561,4.558,3.719,S_uberis,39.09,16.07,88153,4.082,6.665,36.89,3.6,3.1,4.65,0,38.58,34.23,91.9,412.5,7.48,0,22.68,Low,0,0,
2026-01-17,F23,2,HF_cross,4.0,3,36,0,0,0,11.80735,78.22701,bedding,31.56,76.82,84.83,29.07,55.04,67.09,48.46,50.68,87.99,1,6.58,7.47,52.38,5.654,4.01,5.227,5.074,5.144,4.156,S_uberis,37.4,16.95,175942,4.051,6.667,36.91,3.8,3.16,4.72,0,38.45,34.34,93.2,396.2,7.75,0,27.68,Low,0,0,
2026-01-18,F23,2,HF_cross,4.0,3,37,0,0,0,11.80735,78.22701,milking_parlor,32.51,67.79,84.69,9.5,78.28,72.93,17.36,73.25,86.34,1,6.74,6.18,57.54,4.698,3.87,4.091,3.899,3.853,4.178,S_agalactiae,30.2,16.63,180190,3.995,6.642,37.12,4.17,3.36,4.65,1,38.61,34.26,98.8,479.7,7.92,0,4.54,No_Risk,0,0,
2026-01-19,F23,2,HF_cross,4.0,3,38,0,0,0,11.80735,78.22701,external_waste_area,34.22,64.93,86.65,43.92,9.78,78.53,88.8,2.74,50.58,0,8.74,6.93,56.91,6.417,5.12,5.288,5.908,6.154,4.724,K_pneumoniae,54.53,17.45,110021,4.2,6.647,37.05,3.93,3.35,4.57,0,38.55,34.07,98.7,513.7,8.43,0,81.53,High,0,0,
2026-01-20,F23,2,HF_cross,4.0,3,39,0,0,0,11.80735,78.22701,external_road,32.24,57.78,82.5,13.96,77.18,81.8,3.91,74.73,91.86,0,7.5,9.01,45.33,4.913,4.422,3.706,4.296,4.31,4.007,S_aureus,32.3,16.4,99761,3.826,6.677,37.11,3.72,3.32,4.92,0,38.51,33.99,97.2,444.8,6.99,0,8.08,No_Risk,0,0,
2026-01-21,F23,2,HF_cross,4.0,3,40,0,0,0,11.80735,78.22701,water_trough,26.79,86.22,78.51,54.22,35.09,67.14,83.08,30.05,58.42,1,8.46,7.06,43.03,6.458,4.728,5.546,6.135,6.033,4.345,E_coli,47.52,15.38,73591,4.135,6.596,36.78,3.8,3.5,4.81,0,38.73,34.75,94.5,448.7,7.22,0,79.57,High,0,0,
2026-01-22,F23,2,HF_cross,4.0,3,41,0,0,0,11.80735,78.22701,external_waste_area,33.11,75.8,87.07,38.46,1.43,62.51,100.0,0.0,39.01,1,9.4,5.63,51.69,6.366,4.549,5.061,5.942,6.107,4.244,K_pneumoniae,55.1,17.0,116155,3.911,6.624,37.0,3.76,3.08,4.59,0,38.45,34.15,108.2,511.5,8.66,0,82.13,High,0,0,
2026-01-23,F23,2,HF_cross,4.0,3,42,0,0,0,11.80735,78.22701,water_trough,27.85,90.84,80.9,69.2,41.77,48.41,80.44,57.16,54.95,1,8.55,7.89,38.21,6.522,4.827,5.587,5.915,6.306,4.493,K_pneumoniae,60.74,16.19,113563,3.997,6.697,36.94,3.78,3.42,4.69,0,38.43,34.17,108.3,482.0,8.76,0,75.45,High,0,0,
