Record_ID,Cow_ID,Data_Source,Record_Type,Day,Days_Before_Index,Breed,Age_Years,Lactation_Number,Parity,Days_In_Milk,Previous_Mastitis_History,Vaccination_Status,Body_Temperature_C,Udder_Temperature_C,Activity_Index,Rumination_Time_min,Feed_Intake_kgDM,Water_Intake_L,Milk_Temperature,Milk_pH,Milk_Conductivity,Somatic_Cell_Count,Milk_Yield,Clotting,Milk_Fat_pct,Milk_Protein_pct,Milk_Lactose_pct,Milk_Solids_pct,Ambient_Temperature_C,Humidity_pct,THI,Hygiene_Score,Bedding_Cleanliness_Score,Milking_Frequency,class1,SCC_Change_3d,SCC_Change_7d,Conductivity_Change_3d,Conductivity_Change_7d,Yield_Change_3d,Yield_Change_7d,Activity_Change_3d,Activity_Change_7d,Rumination_Change_3d,Rumination_Change_7d,Temperature_Change_3d,Temperature_Change_7d
R00011,C0011,Original,Index_Observation,19,0,Holstein_Friesian,4.4,4,4,57,0,0,38.11,38.59,66.7,398.2,18.85,40.9,35.82,6.55,4.7,151,17.7,0.0,3.46,3.33,4.74,12.21,22.3,41.5,67.5,2,2,2,0.0,9.7,8.16,-0.42,-0.71,-1.33,-1.34,-2.7,6.71,-3.91,-67.45,0.2,-0.35
R00012,C0012,Original,Index_Observation,23,0,Gir,4.4,3,3,45,0,1,39.21,40.05,65.5,428.1,9.84,63.1,38.37,6.93,6.29,762,10.8,1.0,4.05,3.18,4.65,12.62,31.3,62.7,82.1,1,2,2,1.0,110.65,113.43,-0.11,-0.42,0.61,-1.29,-2.37,-15.07,-25.74,-6.05,0.18,-0.25
R00013,C0013,Original,Index_Observation,11,0,Jersey,7.7,7,7,22,0,0,38.6,39.1,87.4,439.9,16.57,72.3,35.6,6.56,4.62,111,23.2,0.0,3.6,3.47,5.08,12.89,26.3,74.3,76.4,2,1,3,0.0,14.9,-48.56,-0.87,-0.85,1.92,3.42,2.14,-6.81,-1.46,51.65,-0.55,-0.84
R00014,C0014,Original,Index_Observation,11,0,Sahiwal,6.1,4,4,8,0,0,38.46,38.58,74.5,423.9,10.35,64.9,35.85,6.68,4.15,94,18.3,0.0,3.0,2.86,4.77,11.43,30.8,70.4,82.7,1,4,2,0.0,31.27,46.83,-0.63,-1.45,-4.05,-4.49,1.41,-17.46,23.95,-43.73,0.58,0.86
R00015,C0015,Original,Index_Observation,24,0,Holstein_Friesian,4.5,3,3,8,1,1,38.78,39.7,62.1,379.6,20.2,35.0,37.88,7.03,6.47,597,5.5,0.0,3.6,3.48,4.42,12.28,30.0,45.8,77.6,1,3,2,1.0,57.69,-52.88,0.1,0.51,1.35,0.39,-14.73,-11.51,17.77,45.65,0.44,0.49
R00016,C0016,Original,Index_Observation,21,0,Crossbred,4.9,3,3,43,0,0,37.99,39.23,60.6,475.0,16.61,59.9,37.58,7.3,6.68,685,15.0,1.0,4.34,3.31,4.59,13.11,25.7,48.5,72.5,2,2,2,1.0,-47.19,190.24,-0.06,0.17,-4.75,-5.13,-7.83,-15.99,-43.67,-4.55,-0.33,-0.21
R00017,C0017,Original,Index_Observation,4,0,Holstein_Friesian,4.6,2,2,255,0,1,38.8,39.16,57.6,403.4,19.86,67.3,39.09,7.05,6.33,777,12.5,1.0,3.91,3.53,4.52,12.45,33.6,69.3,86.6,1,2,2,1.0,199.84,,-0.28,,1.91,,20.41,,9.43,,0.6,
R00018,C0018,Original,Index_Observation,8,0,Crossbred,4.1,4,4,40,0,1,38.33,38.03,56.1,413.9,17.08,68.4,36.4,6.72,4.63,147,18.6,0.0,3.82,3.07,4.54,12.19,24.9,72.7,74.0,3,2,2,0.0,13.76,16.95,0.02,1.43,-0.68,4.27,-3.96,-25.96,-5.22,-33.85,0.12,-0.49
R00019,C0019,Original,Index_Observation,24,0,Sahiwal,2.6,1,1,19,0,1,38.8,39.39,92.1,499.9,9.98,79.7,35.48,6.74,5.0,158,16.1,0.0,3.46,3.26,4.75,12.24,34.2,48.4,83.5,1,4,2,0.0,-18.1,-2.46,0.05,0.19,1.13,1.87,-7.93,0.61,48.5,-18.58,-0.64,-0.64
R00020,C0020,Original,Index_Observation,3,0,Jersey,4.2,3,3,47,0,1,38.78,39.05,75.7,432.7,16.95,96.7,34.78,6.63,4.49,85,18.5,0.0,2.94,3.23,5.2,12.06,34.9,70.9,88.9,2,3,2,0.0,,,,,,,,,,,,
R00021,C0021,Original,Index_Observation,22,0,Sahiwal,3.2,1,1,43,0,0,38.7,39.05,68.2,451.9,13.22,86.9,35.56,6.65,4.24,226,20.6,0.0,4.31,3.35,4.78,12.94,33.5,42.3,81.4,2,2,2,0.0,102.93,120.53,0.19,0.25,-0.51,-3.32,-3.08,-4.6,-27.14,-37.95,0.22,0.53
R00022,C0022,Original,Index_Observation,21,0,Holstein_Friesian,2.2,1,1,71,0,0,38.61,39.22,71.7,479.1,21.71,93.6,35.16,6.51,4.65,143,20.2,0.0,4.07,3.01,4.63,12.42,27.1,74.4,77.5,3,4,3,0.0,-45.14,54.13,0.01,0.46,3.96,5.26,-9.67,6.38,-28.99,-19.9,0.06,-0.36
R00023,C0023,Original,Index_Observation,2,0,Gir,5.4,4,4,264,1,1,38.06,38.29,59.2,477.5,13.35,93.1,35.92,6.62,4.55,178,18.8,0.0,3.52,3.39,4.84,12.4,41.2,51.7,93.4,3,4,2,0.0,,,,,,,,,,,,
R00024,C0024,Original,Index_Observation,24,0,Sahiwal,5.2,4,4,45,0,0,38.98,39.46,57.8,355.5,11.29,48.8,38.1,7.28,5.76,544,7.4,1.0,3.76,2.89,4.15,11.69,28.8,66.2,79.0,2,4,2,1.0,34.23,176.61,-0.22,-0.2,3.51,0.67,-6.67,-12.81,35.62,71.94,-0.33,-1.51
R00025,C0025,Original,Index_Observation,12,0,Sahiwal,2.0,1,1,54,0,1,38.7,39.06,80.2,491.3,11.69,86.8,35.28,6.91,4.65,162,21.4,0.0,4.33,3.1,5.2,13.38,29.3,63.7,79.3,2,1,2,0.0,41.61,61.54,-0.08,0.6,-3.14,-3.12,-0.41,-18.75,-32.79,-107.47,0.25,-0.06
R00026,C0026,Original,Index_Observation,30,0,Crossbred,4.3,3,3,144,0,1,38.84,39.8,79.3,462.8,19.1,100.0,34.56,6.54,4.85,98,25.9,0.0,3.86,2.88,5.0,12.38,27.9,82.4,79.9,1,1,2,0.0,3.25,37.15,0.3,0.58,2.12,3.44,2.11,-20.27,-59.92,-95.73,-0.03,0.45
R00027,C0027,Original,Index_Observation,6,0,Holstein_Friesian,6.3,5,5,31,1,1,39.17,39.58,91.9,439.5,24.62,74.6,35.27,6.8,4.7,168,21.4,0.0,3.2,3.43,5.06,12.21,22.1,68.6,69.4,2,3,2,0.0,32.39,,0.6,,3.0,,-8.08,,-25.04,,0.75,
R00028,C0028,Original,Index_Observation,2,0,Crossbred,6.4,5,5,253,1,0,37.88,37.81,91.5,428.6,15.59,70.1,34.29,6.75,4.79,136,21.8,0.0,4.06,3.32,4.83,13.0,34.7,56.0,85.7,1,2,3,0.0,,,,,,,,,,,,
R00029,C0029,Original,Index_Observation,28,0,Crossbred,6.3,6,6,233,1,1,38.33,38.28,86.5,384.7,16.51,88.5,34.71,6.68,5.24,151,21.7,0.0,3.83,3.34,4.81,12.76,25.0,70.4,73.9,2,3,2,0.0,-65.39,-115.19,-0.07,0.5,-0.56,-1.67,-3.22,-9.47,27.11,34.12,-0.41,-0.18
R00030,C0030,Original,Index_Observation,21,0,Jersey,4.6,3,3,210,0,0,38.3,38.75,74.4,461.1,17.34,59.7,35.88,6.83,4.6,178,21.2,0.0,3.52,3.57,4.91,12.7,32.8,97.0,90.5,1,3,2,0.0,11.06,58.53,-0.65,-1.38,6.19,2.93,0.52,16.71,-5.77,-31.45,-0.41,0.03
R00031,C0031,Original,Index_Observation,1,0,Jersey,3.0,2,2,111,0,1,38.59,38.56,66.9,393.8,15.62,67.1,35.89,6.69,4.78,101,22.8,0.0,3.56,3.15,4.88,12.37,34.0,76.1,88.6,3,2,2,0.0,,,,,,,,,,,,
R00032,C0032,Original,Index_Observation,12,0,Gir,2.5,2,2,198,0,0,38.53,38.34,78.6,431.5,12.62,71.1,35.71,6.69,4.55,123,21.2,0.0,3.59,3.36,4.58,12.22,31.1,64.1,82.1,2,2,2,0.0,-40.44,-42.89,0.53,0.34,-2.78,-5.16,-2.7,18.07,-12.15,-93.44,-0.34,-0.44
R00033,C0033,Original,Index_Observation,26,0,Crossbred,5.1,5,5,8,0,0,38.4,39.04,63.9,461.8,17.81,84.2,35.02,6.64,4.45,168,19.1,0.0,3.2,3.26,4.57,11.85,24.4,52.5,71.2,2,2,2,0.0,-41.05,17.62,0.33,0.51,1.94,1.73,-1.24,12.58,-5.05,42.34,0.15,-0.4
R00034,C0034,Original,Index_Observation,22,0,Holstein_Friesian,5.2,3,3,200,0,1,38.84,39.5,91.2,525.0,20.59,79.2,35.48,6.77,4.52,234,17.6,0.0,4.09,3.24,5.04,13.19,26.2,55.8,74.0,2,2,2,0.0,-51.22,-13.97,-0.4,-0.39,1.09,1.02,-1.19,-4.21,20.84,-15.4,-0.58,-0.58
R00035,C0035,Original,Index_Observation,29,0,Holstein_Friesian,6.8,5,5,15,0,1,38.44,38.88,75.2,402.0,21.24,79.5,38.04,7.21,7.08,791,9.1,1.0,3.71,3.6,4.43,12.3,14.1,75.2,57.4,1,3,2,1.0,-144.46,-406.64,-0.51,-0.1,-3.41,-2.22,-6.9,-23.51,-37.66,-111.2,-0.35,-0.31
R00036,C0036,Original,Index_Observation,12,0,Crossbred,6.5,6,6,86,0,0,38.14,38.65,75.8,510.1,16.64,67.2,34.92,6.59,4.81,174,20.9,0.0,4.05,3.7,4.56,12.89,27.4,51.7,75.1,1,3,3,0.0,-39.61,2.6,0.3,-0.31,-1.35,-3.08,-4.7,-6.35,53.12,94.02,-0.04,0.68
R00037,C0037,Original,Index_Observation,25,0,Crossbred,4.3,3,3,28,0,0,38.23,38.71,71.2,475.2,14.61,64.3,36.25,6.52,5.4,146,19.1,0.0,3.89,3.14,4.89,12.85,32.2,65.0,83.8,4,2,2,0.0,-24.0,-128.53,0.8,0.73,5.21,4.96,-14.12,-15.59,21.02,-4.3,-0.57,-0.43
R00038,C0038,Original,Index_Observation,17,0,Holstein_Friesian,2.3,1,1,29,0,0,38.64,39.45,85.6,439.7,19.34,74.4,37.62,7.11,6.83,569,10.3,1.0,4.28,3.48,4.78,13.35,26.8,86.6,78.5,3,3,2,1.0,168.5,247.41,0.09,0.89,-0.04,-3.62,-6.13,-7.31,6.27,-82.54,0.36,0.97
R00039,C0039,Original,Index_Observation,27,0,Crossbred,3.9,3,3,188,0,1,38.11,38.74,56.2,423.4,15.63,69.4,35.39,6.57,4.58,80,21.3,0.0,2.78,3.28,4.71,11.36,24.9,67.3,73.5,1,2,2,0.0,22.17,-0.9,0.59,1.14,0.92,2.07,-4.68,19.77,-21.77,53.88,0.16,0.02
R00040,C0040,Original,Index_Observation,27,0,Jersey,4.9,4,4,47,0,1,38.82,38.41,90.9,395.3,16.34,58.9,38.67,7.11,8.0,632,10.9,1.0,3.65,3.38,4.57,12.17,26.5,48.8,73.5,3,3,3,1.0,211.77,-59.56,0.72,1.16,0.19,-6.41,-9.09,-9.09,-22.67,-63.47,0.25,0.42
R00041,C0041,Original,Index_Observation,10,0,Holstein_Friesian,4.1,3,3,26,0,0,38.46,38.77,74.4,481.6,23.33,57.6,35.6,6.77,4.82,85,23.8,0.0,3.68,3.27,4.88,12.57,34.3,97.0,93.2,2,1,2,0.0,-43.37,-70.95,0.36,0.29,-2.14,-7.35,-13.78,-25.61,9.91,18.59,0.31,-0.62
R00042,C0042,Original,Index_Observation,28,0,Sahiwal,3.5,2,2,241,0,0,38.54,39.32,52.8,402.3,12.86,67.7,38.06,7.02,7.14,459,8.2,1.0,3.45,3.22,4.79,12.06,27.7,91.4,80.8,1,3,2,1.0,-84.72,-97.75,0.1,0.67,-1.69,-4.31,6.07,10.49,-107.53,-126.09,0.45,0.83
R00043,C0043,Original,Index_Observation,28,0,Jersey,5.0,4,4,32,1,1,38.78,39.02,58.1,496.9,16.12,95.9,35.38,6.65,5.09,162,16.1,0.0,4.13,2.45,4.7,11.97,37.7,72.5,93.5,2,3,2,0.0,26.38,58.85,-0.21,0.09,1.96,0.74,9.87,26.49,60.56,54.74,0.93,1.21
R00044,C0044,Original,Index_Observation,16,0,Crossbred,3.6,3,3,135,0,0,38.79,39.38,48.7,441.1,16.59,50.7,38.34,7.09,7.08,525,9.2,1.0,3.42,3.63,4.66,12.43,25.0,84.1,75.4,1,2,3,1.0,-6.01,-212.82,-0.16,-0.97,-1.37,3.53,-2.76,-13.86,-60.98,-127.56,0.4,0.65
R00045,C0045,Original,Index_Observation,15,0,Sahiwal,3.4,2,2,5,1,0,38.81,39.5,79.9,428.4,13.06,93.4,35.0,6.73,3.98,139,20.1,0.0,3.55,3.08,4.88,12.23,29.1,61.0,78.8,1,3,2,0.0,2.43,24.84,0.08,0.78,-2.98,-3.92,-5.3,7.54,-18.96,-38.39,0.91,1.15
R00046,C0046,Original,Index_Observation,30,0,Sahiwal,5.1,4,4,16,0,1,38.7,39.31,58.5,422.4,12.4,67.3,37.62,6.96,6.78,759,11.0,0.0,4.47,3.26,4.55,13.12,25.7,75.9,75.6,2,4,3,1.0,-188.53,201.88,-0.43,-1.32,-0.8,-3.76,6.25,-15.78,40.24,27.45,0.44,0.99
R00047,C0047,Original,Index_Observation,30,0,Holstein_Friesian,3.8,4,4,43,1,1,38.57,39.54,79.0,434.4,22.58,59.3,36.4,6.59,5.03,274,24.2,0.0,3.88,3.22,4.86,12.87,38.8,58.6,91.9,1,1,3,0.0,89.1,-13.41,0.0,0.16,-5.36,-6.1,10.15,2.44,-33.51,-60.6,-0.45,-0.53
R00048,C0048,Original,Index_Observation,15,0,Crossbred,4.9,3,3,78,0,1,38.35,39.18,91.6,448.3,14.38,67.0,35.82,6.67,4.23,140,20.4,0.0,2.91,3.06,5.13,11.78,28.9,44.7,76.1,3,3,2,0.0,-89.13,-324.46,0.0,0.15,-3.22,-6.1,13.39,34.7,6.0,20.98,-0.0,-0.01
R00049,C0049,Original,Index_Observation,30,0,Jersey,5.0,4,4,233,0,0,38.82,39.36,59.8,492.6,13.65,56.8,38.54,7.33,7.2,388,13.4,1.0,4.31,3.34,4.87,13.12,39.1,97.0,101.6,2,5,2,1.0,72.96,104.94,-0.01,-0.23,-3.02,-3.78,1.86,11.71,-14.68,32.09,-0.15,0.02
R00050,C0050,Original,Index_Observation,19,0,Crossbred,2.4,1,1,31,0,0,38.76,39.08,72.1,464.4,15.17,79.5,35.79,6.6,4.87,124,24.1,0.0,4.15,3.22,4.58,12.71,25.8,43.9,72.2,3,4,3,0.0,23.06,-33.14,-0.09,0.28,-0.26,-1.66,-5.63,-5.62,10.97,-16.37,0.42,0.22
R00051,C0051,Original,Index_Observation,12,0,Crossbred,3.6,3,3,116,0,0,38.43,37.8,51.8,438.7,18.28,82.6,36.2,6.46,4.77,162,18.1,0.0,4.8,3.08,4.46,13.23,35.9,69.5,90.2,2,2,2,0.0,-16.69,4.06,-0.91,-1.38,5.3,8.78,-4.56,-20.61,58.08,35.6,-0.47,0.28
R00052,C0052,Original,Index_Observation,23,0,Crossbred,7.1,6,6,181,0,1,38.71,38.98,69.4,466.0,19.34,106.9,35.96,6.71,4.37,140,21.7,0.0,3.92,3.27,4.88,12.75,28.6,69.3,79.2,3,3,2,0.0,13.26,9.36,-0.34,-1.3,3.44,4.48,-11.04,4.48,-44.62,-104.41,-0.63,-0.29
R00053,C0053,Original,Index_Observation,20,0,Sahiwal,2.4,2,2,271,0,0,38.25,38.14,96.0,393.2,9.12,58.6,35.53,6.59,4.4,134,19.7,0.0,3.19,3.23,4.88,12.1,32.4,72.7,85.4,2,5,3,0.0,52.12,33.38,-0.2,0.42,0.52,2.09,1.31,7.12,-29.69,-7.82,-0.0,-0.18
R00054,C0054,Original,Index_Observation,25,0,Jersey,2.0,2,2,74,1,0,38.73,39.21,80.3,474.3,18.08,71.5,35.18,6.53,4.41,223,19.4,0.0,4.01,3.46,4.98,13.09,21.7,63.7,68.4,2,3,3,0.0,48.4,83.0,0.26,-0.23,-0.29,6.35,10.96,18.39,43.31,13.68,-0.04,-0.01
R00055,C0055,Original,Index_Observation,3,0,Jersey,2.0,1,1,181,1,0,38.35,38.81,81.2,468.0,15.63,63.7,35.85,6.59,4.73,197,17.7,0.0,4.22,2.96,5.11,13.01,29.8,63.8,80.2,2,1,2,0.0,,,,,,,,,,,,
R00056,C0056,Original,Index_Observation,5,0,Sahiwal,4.6,4,4,24,0,0,39.0,39.85,60.0,488.5,13.16,46.0,37.21,6.85,6.16,396,8.1,1.0,3.97,3.11,4.75,12.43,22.4,67.1,69.8,4,1,2,1.0,-208.64,,-0.73,,-2.06,,-9.01,,-10.57,,-0.34,
R00057,C0057,Original,Index_Observation,19,0,Holstein_Friesian,4.6,2,2,27,0,1,38.56,39.49,68.1,483.0,22.36,79.0,35.95,6.59,4.85,58,18.9,0.0,3.88,3.35,4.8,12.76,29.3,72.2,80.7,1,3,2,0.0,11.94,2.47,0.13,-0.43,3.43,3.97,12.12,14.08,-35.24,-79.22,0.35,1.19
R00058,C0058,Original,Index_Observation,7,0,Holstein_Friesian,4.3,4,4,236,0,0,39.02,39.41,75.1,447.6,24.02,81.5,35.82,6.43,3.84,136,22.1,0.0,3.4,3.09,4.61,11.81,20.1,65.0,66.2,2,2,2,0.0,-39.57,,0.32,,0.26,,-15.66,,-55.53,,0.02,
R00059,C0059,Original,Index_Observation,21,0,Crossbred,6.7,6,6,47,1,1,38.36,39.81,60.0,492.4,15.82,36.6,37.21,7.08,6.43,506,6.8,1.0,4.0,3.1,4.81,12.69,27.5,64.0,76.9,3,1,2,1.0,155.85,267.64,0.27,0.18,0.12,-1.29,8.81,18.64,-23.19,-45.58,0.18,0.4
R00060,C0060,Original,Index_Observation,9,0,Crossbred,2.0,2,2,37,0,1,38.35,39.01,71.4,461.1,13.76,66.7,38.45,7.3,6.73,624,9.7,1.0,3.21,3.17,4.63,11.92,33.7,45.2,82.2,2,2,2,1.0,196.85,137.07,0.2,0.59,-3.45,-0.98,0.26,-27.67,-70.92,-90.09,0.22,0.67
R00061,C0061,Original,Index_Observation,7,0,Jersey,5.2,3,3,192,0,1,38.36,38.26,69.9,475.4,15.6,66.0,36.16,6.72,4.62,194,23.2,0.0,3.55,3.23,4.66,12.12,30.8,95.2,86.7,3,3,2,0.0,55.0,,0.24,,-0.33,,4.31,,45.29,,-0.36,
R00062,C0062,Original,Index_Observation,18,0,Holstein_Friesian,7.3,6,6,41,1,0,38.07,38.26,65.7,445.7,22.45,79.5,35.6,6.54,4.54,208,20.3,0.0,3.42,3.23,4.87,12.04,21.6,73.0,68.9,2,2,3,0.0,-19.91,61.01,-0.26,-0.1,3.43,-0.34,11.58,11.17,-14.84,6.22,0.17,0.1
R00063,C0063,Original,Index_Observation,4,0,Holstein_Friesian,2.5,2,2,39,0,0,38.14,38.4,77.5,477.7,21.23,95.9,36.54,6.63,4.94,159,19.3,0.0,3.68,3.2,4.72,12.29,18.1,68.1,63.5,1,4,3,0.0,-1.88,,0.92,,-1.63,,5.24,,42.51,,0.4,
R00064,C0064,Original,Index_Observation,25,0,Sahiwal,3.8,3,3,45,0,1,38.68,39.31,57.6,443.8,13.72,86.9,35.16,6.65,4.14,116,21.2,0.0,3.01,3.0,4.57,11.32,30.6,55.6,80.0,2,3,3,0.0,-12.09,-10.62,-0.61,-0.91,-0.19,-1.21,5.66,-6.92,0.64,-38.83,0.41,0.82
R00065,C0065,Original,Index_Observation,28,0,Jersey,3.1,2,2,15,0,0,38.57,38.61,78.8,517.8,15.85,89.8,36.37,6.71,4.71,53,26.9,0.0,3.38,3.36,4.75,12.23,36.2,49.9,86.4,2,5,2,0.0,16.09,24.48,-0.04,0.87,-0.15,-0.67,-10.74,-4.26,-6.97,-13.16,0.15,0.12
R00066,C0066,Original,Index_Observation,14,0,Holstein_Friesian,2.9,2,2,250,0,0,38.36,38.65,78.0,557.6,20.39,65.2,35.6,6.72,4.87,177,14.7,0.0,3.89,3.54,4.62,12.75,23.0,77.9,71.5,1,4,2,0.0,-107.81,-72.95,0.63,1.25,-5.42,-10.58,11.99,11.56,6.14,-58.17,-0.07,-0.44
R00067,C0067,Original,Index_Observation,18,0,Holstein_Friesian,3.9,2,2,128,0,1,38.36,38.7,53.1,479.2,19.98,82.7,35.17,6.58,5.26,117,22.3,0.0,3.64,2.81,4.81,12.12,38.9,62.6,93.0,1,2,2,0.0,7.86,15.73,0.44,-0.45,0.11,0.96,9.65,-7.68,92.49,19.81,0.12,-0.17
R00068,C0068,Original,Index_Observation,26,0,Crossbred,7.1,6,6,49,0,0,38.3,38.53,60.9,527.4,15.84,83.6,35.26,6.66,4.56,157,17.3,0.0,3.87,2.9,4.58,12.07,28.0,74.3,78.9,1,3,3,0.0,22.84,34.39,-0.29,0.0,-3.4,-3.26,5.96,-4.52,32.12,-28.74,-0.15,-0.16
R00069,C0069,Original,Index_Observation,9,0,Crossbred,7.8,7,7,49,1,1,39.31,40.19,57.2,378.1,15.89,71.0,37.89,6.97,6.88,427,8.6,1.0,4.29,3.51,4.45,12.96,17.8,44.7,62.2,3,1,2,1.0,158.72,140.72,0.1,0.62,1.7,-1.05,-4.27,1.29,-97.27,-156.2,0.3,-0.17
R00070,C0070,Original,Index_Observation,26,0,Holstein_Friesian,3.9,3,3,39,1,0,38.52,39.34,75.7,368.9,17.33,60.6,37.51,7.05,7.0,573,6.3,1.0,3.73,3.65,4.62,12.64,19.9,88.2,67.2,3,5,2,1.0,-41.78,57.3,1.14,1.17,-1.89,3.05,4.88,9.22,62.45,103.74,0.22,0.27
R00071,C0071,Original,Index_Observation,21,0,Crossbred,7.9,6,6,58,1,1,38.11,38.95,70.6,440.5,15.29,80.5,35.76,6.72,3.98,151,18.7,0.0,4.12,2.77,4.77,12.2,32.0,78.5,85.9,2,2,2,0.0,-57.17,-120.48,-0.7,-0.3,-0.57,4.82,5.22,11.31,-20.93,-46.35,-0.64,-0.78
R00072,C0072,Original,Index_Observation,2,0,Holstein_Friesian,4.6,4,4,287,0,1,38.74,39.02,96.7,450.0,18.41,60.6,35.21,6.73,4.95,161,20.0,0.0,3.42,3.42,4.73,12.33,28.7,63.8,78.5,1,3,3,0.0,,,,,,,,,,,,
R00073,C0073,Original,Index_Observation,20,0,Sahiwal,7.7,5,5,144,0,0,38.44,39.3,85.6,454.4,11.45,64.6,35.49,6.66,4.7,105,16.6,0.0,4.15,3.58,4.87,13.35,35.7,72.0,90.4,2,4,2,0.0,10.79,20.24,-0.09,-0.38,-0.34,-2.11,10.39,7.76,-29.06,-55.43,0.21,0.13
R00074,C0074,Original,Index_Observation,28,0,Crossbred,4.3,4,4,203,1,1,39.41,39.48,60.4,385.9,17.62,76.6,37.67,7.14,6.0,595,9.9,1.0,4.29,3.11,4.6,12.62,21.8,76.1,69.5,3,1,2,1.0,161.21,289.42,0.42,0.47,-0.77,1.17,8.29,21.64,-28.51,-0.54,0.07,0.63
